ID,MeanH,MeanA,DrawProb,League,LeagueRanking,NeutralField,rbS.FinalScoreH,rbS.FinalScoreA
45493,1.811,0.918,NA,Eng. Premier,1,0,1,0
45543,1.204,1.456,NA,Australia,4,0,0,2
45548,1.43,1.13,NA,Australia,4,0,2,1
45553,1.306,1.944,NA,E Club Frien,5,0,3,1
45648,0.995,1.704,NA,Cyprus 1st D,5,0,1,0
45658,1.591,0.969,NA,Cyprus 1st D,5,0,0,1
45668,2.054,0.795,NA,Cyprus 1st D,5,0,2,2
45683,1.319,1.501,0.279,Eng. FA Cup,2,0,1,1
45688,1.228,1.272,0.302,Eng. FA Cup,2,0,1,2
45693,1.529,0.861,0.271,Eng. FA Cup,2,0,0,1
45698,1.914,0.945,0.219,Eng. FA Cup,2,0,1,4
45703,1.336,1.324,0.303,Eng. FA Cup,2,0,2,1
45708,1.009,1.57,0.274,Eng. FA Cup,2,0,0,2
45713,2.205,0.554,0.182,Eng. FA Cup,2,0,2,1
45723,1.662,0.968,0.267,Eng. FA Cup,2,0,2,0
45728,1.516,1.014,0.284,Eng. FA Cup,2,0,2,2
45738,1.727,0.983,0.259,Eng. FA Cup,2,0,1,1
45743,1.405,1.045,0.29,Eng. FA Cup,2,0,0,3
45748,1.53,1.08,0.278,Eng. FA Cup,2,0,2,0
45753,1.547,1.043,0.278,Eng. FA Cup,2,0,1,0
45758,1.523,0.987,0.274,Eng. FA Cup,2,0,3,2
45813,2.717,0.503,0.144,Eng. FA Cup,2,0,1,1
45833,0.687,1.71,NA,Greek,4,0,1,2
45838,1.484,1.096,NA,Australia,4,0,1,2
45843,2.63,0.43,NA,Greek,4,0,1,0
45853,0.643,1.973,0.219,Eng. FA Cup,2,0,0,2
45858,1.923,0.796,0.224,Eng. FA Cup,2,0,2,2
45863,1.442,1.048,0.294,Eng. FA Cup,2,0,2,2
45868,1.246,1.174,NA,Cyprus 1st D,5,0,1,2
45873,1.77,1.3,NA,Cyprus 1st D,5,0,1,1
45883,1.254,0.816,NA,Greek,4,0,3,1
45893,0.573,2.283,0.189,Eng. FA Cup,2,0,1,1
45898,1.007,1.103,NA,Greek,4,0,0,1
45903,1.17,0.95,NA,Greek,4,0,0,2
45908,1.124,1.485,0.287,Eng. FA Cup,2,0,0,0
45913,0.813,1.287,NA,Greek,4,0,2,1
45918,1.364,0.806,NA,Greek,4,0,1,0
45923,1.039,1.49,NA,Australia,4,0,1,1
46008,1.742,0.908,NA,EngJP Trophy,5,0,1,0
46013,1.504,1.096,NA,EngJP Trophy,5,0,2,0
46018,1.166,1.284,0.3,Eng. L2,4,0,0,4
46068,2.093,1.027,NA,E Club Frien,5,0,2,1
46073,0.886,2.283,NA,E Club Frien,5,0,1,2
46103,1.358,0.922,NA,Portugal Cup,3,0,1,1
46108,1.076,1.294,NA,Portugal Cup,3,0,1,0
46113,2.111,0.518,NA,Spain Cup,2,0,4,1
46118,2.307,0.712,NA,Spain Cup,2,0,2,1
46123,2.736,0.555,NA,Spain Cup,2,0,2,1
46133,1.441,0.979,NA,Spain Cup,2,0,1,1
46143,2.006,0.813,NA,Spain Cup,2,0,1,1
46153,1.67,0.82,NA,Spain Cup,2,0,2,0
46158,2.758,0.483,NA,Spain Cup,2,0,4,3
46163,1.454,1.096,NA,Spain Cup,2,0,4,0
46168,2.306,0.593,NA,Spain Cup,2,0,3,0
46173,1.75,0.94,NA,Spain Cup,2,0,1,1
46178,1.685,0.734,NA,France Cup,2,0,0,1
46293,1.19,1.02,NA,France Cup,2,0,2,1
46303,1.919,0.5,NA,France Cup,2,0,2,1
46308,0.601,2.186,NA,France Cup,2,0,0,2
46318,2.068,0.601,NA,France Cup,2,0,1,2
46323,0.569,2.268,NA,France Cup,2,0,0,2
46328,0.671,1.597,NA,France Cup,2,0,0,3
46333,0.526,2.311,NA,France Cup,2,0,0,3
46338,0.516,2.271,NA,France Cup,2,0,0,4
46423,1.057,1.103,NA,Segunda Liga,3,0,0,0
46428,1.275,0.865,NA,Segunda Liga,3,0,1,0
46433,1.385,1.515,NA,Belgian 2,4,0,0,5
46438,1.389,1.191,NA,Belgian 2,4,0,2,1
46443,1.301,1.349,NA,Belgian 2,4,0,3,1
46448,1.556,1.074,NA,Belgian 2,4,0,1,2
46453,1.296,1.325,NA,Belgian 2,4,0,1,1
46458,1.237,1.053,NA,Segunda Liga,3,0,0,1
46463,0.942,1.807,0.267,La Liga,1,0,0,2
46468,1.323,1.197,0.303,La Liga,1,0,3,0
46473,1.215,1.115,NA,Segunda Liga,3,0,2,2
46478,1.615,1.145,NA,Belgian 2,4,0,3,0
46483,1.479,0.951,NA,Segunda Liga,3,0,1,0
46488,1.304,0.976,0.296,La Liga,1,0,1,0
46493,1.186,1.114,0.31,La Liga,1,0,2,0
46498,2.094,0.544,NA,La Liga,1,0,0,0
46503,1.063,1.296,0.298,La Liga,1,0,0,3
46508,1.332,0.938,0.294,La Liga,1,0,1,1
46513,1.441,1.009,0.309,La Liga,1,0,0,3
46518,2.249,0.78,NA,La Liga,1,0,2,0
46523,1.836,0.814,NA,La Liga,1,0,3,0
46538,1.583,1.227,NA,E Club Frien,5,0,2,0
46543,1.667,1.233,NA,E Club Frien,5,0,1,1
46548,1.216,1.204,0.31,Eng L1      ,3,0,0,2
46553,1.675,1.095,NA,Australia,4,0,3,0
46558,2.557,0.915,0.205,Dutch 2,3,0,6,2
46563,2.08,1.18,0.253,Dutch 2,3,0,2,2
46608,1.52,0.87,0.295,French 2,3,0,1,0
46613,1.173,0.977,0.332,French 2,3,0,1,3
46618,1.306,1.064,0.315,French 2,3,0,1,1
46623,1.273,0.817,0.32,French 2,3,0,0,0
46628,1.064,1.046,0.334,French 2,3,0,0,2
46633,1.274,0.947,0.33,French 2,3,0,0,0
46638,1.467,0.943,0.297,French 2,3,0,0,0
46643,0.886,1.763,0.265,Dutch 1,2,0,2,2
46648,1.741,0.657,0.244,French 2,3,0,2,1
46658,1.223,1.356,NA,Eng. Conf.,5,0,1,0
46743,1.749,1.551,NA,E Club Frien,5,0,0,1
46748,1.467,1.144,NA,Cyprus 1st D,5,0,0,1
46753,1.783,0.917,NA,Cyprus 1st D,5,0,1,1
46763,1.401,1.339,NA,Cyprus 1st D,5,0,2,0
46768,2.308,0.842,NA,E Club Frien,5,0,1,0
46773,1.41,0.95,0.284,Eng L1      ,3,0,2,2
46778,1.488,1.002,0.283,Eng L1      ,3,0,1,1
46783,1.196,1.185,0.3,Eng L1      ,3,0,3,1
46788,1.47,0.99,0.283,Eng L1      ,3,0,1,1
46793,1.77,0.88,0.252,Eng L1      ,3,0,4,0
46798,1.411,1.23,0.294,Eng L1      ,3,0,1,1
46803,1.006,1.483,0.276,Eng L1      ,3,0,1,3
46808,1.608,1.052,0.276,Eng L1      ,3,0,1,3
46813,1.554,1.056,0.28,Eng L1      ,3,0,1,0
46818,0.982,1.707,0.27,Eng L1      ,3,0,0,1
46823,1.411,1.099,0.286,Eng L1      ,3,0,1,0
46833,0.744,1.674,NA,Eng. Premier,1,0,1,1
46838,1.352,0.968,0.292,Eng. Premier,1,0,1,0
46843,1.139,1.281,0.3,Eng. Premier,1,0,0,1
46848,1.933,0.947,0.238,Eng. Premier,1,0,3,1
46853,2.408,0.541,NA,Eng. Premier,1,0,1,1
46863,1.229,1.112,0.294,Eng. Chship,2,0,0,3
46868,1.785,0.895,0.251,Eng. Chship,2,0,1,0
46873,1.365,1.095,0.282,Eng. Chship,2,0,2,1
46878,1.2,1.33,0.294,Eng. Chship,2,0,1,0
46883,1.416,1.094,0.289,Eng. Chship,2,0,2,0
46888,1.597,1.093,0.272,Eng. Chship,2,0,1,1
46893,1.583,1.067,0.289,Eng. Chship,2,0,4,1
46898,1.624,0.946,0.279,Eng. Chship,2,0,1,0
46903,1.402,1.058,0.283,Eng. Chship,2,0,1,0
47103,1.417,0.863,0.296,French 1,1,0,1,0
47108,2.122,0.497,0.204,French 1,1,0,3,2
47113,1.746,0.683,0.245,French 1,1,0,1,1
47118,1.145,1.135,0.325,French 1,1,0,0,2
47123,1.101,1.119,0.329,French 1,1,0,0,0
47128,1.559,0.831,0.28,French 1,1,0,4,1
47133,0.906,1.643,NA,Serie A,1.5,0,1,1
47268,1.183,1.137,0.304,Eng. Premier,1,0,2,0
47273,1.402,0.988,0.302,Eng. L2,4,0,3,1
47283,1.363,1.267,NA,Cyprus 1st D,5,0,1,1
47288,2.128,0.851,NA,Cyprus 1st D,5,0,3,0
47293,1.287,1.263,NA,Cyprus 1st D,5,0,0,2
47328,1.576,1.294,0.283,Dutch 1,2,0,2,0
47333,1.862,1.278,0.268,Dutch 1,2,0,6,1
47338,1.603,1.397,0.278,Dutch 1,2,0,2,2
47343,1.427,0.893,NA,Serie A,1.5,0,1,2
47348,0.76,1.857,NA,Serie A,1.5,0,2,3
47353,1.443,1.297,NA,Serie A,1.5,0,3,0
47358,1.135,1.365,NA,Serie A,1.5,0,1,2
47363,1.604,0.916,NA,Serie A,1.5,0,1,2
47368,1.184,1.296,0.313,Serie A,1.5,0,0,1
47373,1.038,1.752,NA,Serie A,1.5,0,1,2
47383,1.506,1.174,NA,Belgian 2,4,0,3,0
47393,1.103,1.257,0.305,Eng. Premier,1,0,1,2
47413,1.139,1.221,NA,Australia,4,0,0,0
47418,1.319,0.901,0.31,French 1,1,0,3,0
47423,1.147,0.863,NA,Greek,4,0,1,0
47433,2.105,0.634,NA,Serie A,1.5,0,5,2
47438,1.206,1.035,0.327,French 1,1,0,3,1
47443,1.165,1.345,NA,Australia,4,0,3,2
47448,1.162,1.058,NA,Portugal 2,4,0,0,0
47453,0.868,1.431,NA,Portugal Primeira Liga,2,0,1,1
47458,0.808,1.511,NA,Portugal Primeira Liga,2,0,2,0
47523,1.181,1.808,NA,Portugal Reserves League,5,0,3,1
47603,1.257,1.403,NA,Belgian Cup,4,0,1,0
47608,1.277,1.023,NA,Segunda Liga,3,0,1,0
47613,0.854,1.804,NA,Scot. FA Cup,5,0,0,1
47623,2.475,0.604,NA,Scot. FA Cup,5,0,3,0
47628,1.23,1.04,NA,Segunda Liga,3,0,0,0
47638,1.269,0.911,NA,Segunda Liga,3,0,1,2
47643,1.331,0.989,NA,Segunda Liga,3,0,1,0
47648,1.192,1.138,NA,Segunda Liga,3,0,3,2
47658,1.68,1.16,NA,E Club Frien,5,0,3,2
47663,3.581,0.481,NA,Scot. FA Cup,5,0,3,0
47668,1.109,1.111,NA,Segunda Liga,3,0,3,2
47673,1.616,1.194,NA,Scot. FA Cup,5,0,3,0
47723,1.239,1.311,0.298,Eng. L2,4,0,0,3
47743,2.457,0.914,NA,Dutch Cup,5,0,3,0
47753,2.217,0.632,0.176,Italy Cup,2.5,0,5,3
47763,0.827,1.761,0.276,France Cup,2,0,1,0
47783,1.06,1.459,NA,Turkey Cup,4,0,2,2
47788,1.178,1.272,NA,Turkey Cup,4,0,0,0
47803,2.032,1.268,NA,E Club Frien,5,0,6,2
47808,1.059,2.111,NA,Cyprus Cup,5,0,0,2
47813,2.906,0.525,NA,Cyprus Cup,5,0,3,0
47818,1.569,1.401,NA,E Club Frien,5,0,2,0
47823,1.419,0.811,0.282,France Cup,2,0,4,0
47828,2.368,0.622,NA,Italy Cup,2.5,0,2,0
47833,0.957,2.86,NA,E Club Frien,5,0,2,7
47858,1.06,1.05,0.319,France Cup,2,0,3,0
47903,1.355,1.235,0.291,Eng. L2,4,0,3,4
47908,0.693,2.577,NA,Scot Premier,3,0,1,2
47918,1.703,1.097,NA,Dutch Cup,5,0,1,0
47923,1.415,1.165,NA,Belgian 2,4,0,2,0
47928,2.38,0.619,NA,Italy Cup,2.5,0,4,0
47933,1.195,1.495,NA,Italy Cup,2.5,0,1,1
47938,2.394,0.665,NA,Italy Cup,2.5,0,4,0
47943,1.203,1.917,NA,Dutch Cup,5,0,4,2
47948,1.222,1.098,0.314,France Cup,2,0,1,0
47963,2.699,0.601,NA,Belgian Cup,4,0,2,0
47968,1.69,0.92,NA,Belgian 2,4,0,1,1
47973,1.123,1.867,NA,Dutch 1,2,0,1,2
47993,0.728,2.27,NA,Turkey Cup,4,0,0,4
47998,2.685,0.686,NA,Turkey Cup,4,0,5,0
48003,1.447,1.363,NA,Dubai Cup,5,0,0,1
48013,1.654,1.126,NA,Eng. Conf.,5,0,1,2
48018,1.832,1.158,NA,E Club Frien,5,0,3,1
48148,1.555,0.835,0.269,Spain Cup,2,0,1,1
48153,1.671,0.688,0.232,Spain Cup,2,0,3,0
48158,1.769,0.931,0.259,Spain Cup,2,0,0,0
48163,1.107,1.253,0.305,Spain Cup,2,0,1,2
48168,1.168,1.492,0.286,Spain Cup,2,0,2,1
48173,1.423,1.357,0.291,Spain Cup,2,0,1,1
48178,1.038,1.232,0.294,Spain Cup,2,0,1,0
48198,1.373,1.137,NA,Mexico T Int,4,0,1,0
48203,1.408,1.012,NA,Mexico T Int,4,0,2,0
48208,1.136,1.154,NA,Mexico T Int,4,0,2,1
48213,1.21,1.11,NA,Mexico T Int,4,0,2,0
48218,1.767,0.882,NA,Eng L1      ,3,0,0,2
48223,1.156,1.004,NA,French 2,3,0,3,4
48228,1.392,0.908,NA,French 2,3,0,3,0
48233,1.99,0.608,NA,French 2,3,0,1,1
48238,1.263,0.907,NA,French 2,3,0,1,1
48243,1.409,0.931,NA,French 2,3,0,1,1
48248,1.554,0.796,NA,French 2,3,0,4,0
48253,1.356,0.884,NA,French 2,3,0,2,2
48258,1.678,1.142,NA,Australia,4,0,2,1
48263,1.529,1.671,NA,Dutch 2,3,0,1,2
48268,2.063,0.857,NA,Dutch 2,3,0,1,0
48273,1.627,1.493,NA,Dutch 2,3,0,4,1
48278,1.448,1.422,NA,Dutch 2,3,0,1,1
48283,1.42,1.32,NA,Dutch 2,3,0,2,2
48293,1.547,1.274,NA,Dutch 2,3,0,2,2
48298,1.63,1.14,NA,Dutch 2,3,0,2,3
48303,1.388,1.622,NA,Dutch 2,3,0,1,1
48308,1.225,2.005,NA,E Club Frien,5,0,1,2
48313,0.861,2.308,NA,Dutch 1,2,0,2,1
48318,1.115,0.995,NA,French 2,3,0,0,1
48323,0.914,1.525,NA,Belgian,3,0,0,1
48423,1.436,1.274,NA,Scot Premier,3,0,1,0
48428,1.158,1.152,0.312,Eng. Chship,2,0,2,0
48438,0.68,2.147,NA,Cyprus 1st D,5,0,0,1
48448,1.363,1.338,NA,Cyprus 1st D,5,0,2,0
48453,2.318,0.902,NA,E Club Frien,5,0,3,0
48458,1.327,1.973,NA,E Club Frien,5,0,0,2
48463,0.938,2.322,NA,E Club Frien,5,0,0,0
48543,1.785,1.065,0.238,Eng. Chship,2,0,3,3
48553,1.185,1.165,0.3,Eng L1      ,3,0,0,0
48558,1.183,1.347,0.279,Eng L1      ,3,0,2,1
48563,2.075,0.825,0.211,Eng L1      ,3,0,2,0
48573,1.539,0.961,0.264,Eng L1      ,3,0,2,1
48578,1.52,1.04,0.282,Eng L1      ,3,0,0,1
48583,1.527,1.053,0.282,Eng L1      ,3,0,0,1
48588,1.916,0.793,0.226,Eng L1      ,3,0,1,0
48603,1.245,1.325,0.292,Eng L1      ,3,0,1,4
48608,1.248,1.761,NA,E Club Frien,5,0,1,1
48613,1.295,1.255,0.291,Eng. Chship,2,0,3,1
48618,1.17,1.15,0.303,Eng. Chship,2,0,0,2
48623,1.742,0.968,0.255,Eng. Chship,2,0,2,0
48628,1.344,1.216,0.294,Eng. Chship,2,0,1,1
48633,1.318,1.082,0.299,Eng. Chship,2,0,0,0
48638,1.53,1,0.28,Eng. Chship,2,0,2,0
48643,1.395,1.085,0.287,Eng. Chship,2,0,1,2
48653,1.429,1.191,0.292,Eng. Chship,2,0,1,1
48658,0.646,1.691,0.248,Eng. Premier,1,0,0,1
48668,0.812,2.236,0.197,Eng. Premier,1,0,0,2
48678,0.752,1.985,0.215,Eng. Premier,1,0,0,3
48683,1.533,0.957,0.285,Eng. Premier,1,0,1,1
48698,1.024,1.336,0.338,Serie B,2.5,0,1,3
48703,1.294,1.086,0.326,Serie B,2.5,0,1,1
48708,1.113,1.038,0.337,Serie B,2.5,0,0,0
48713,1.524,0.966,0.318,Serie B,2.5,0,1,1
48723,1.596,0.804,0.27,Serie B,2.5,0,1,0
48733,1.624,0.866,0.294,Serie B,2.5,0,1,1
48738,1.862,0.737,0.239,Serie B,2.5,0,3,0
48743,1.097,1.402,0.331,Serie B,2.5,0,2,3
48748,1.616,0.904,0.299,Serie B,2.5,0,2,0
48753,0.895,2.375,NA,E Club Frien,5,0,1,1
48758,1.026,1.014,0.336,French 1,1,0,1,0
48763,1.665,0.955,0.275,Eng. Premier,1,0,0,0
48768,1.495,1.245,0.287,Eng. Chship,2,0,1,1
48778,1.967,0.943,NA,Australia,4,0,2,0
48783,1.582,1.108,0.289,Dutch 1,2,0,1,0
48788,1.645,1.435,0.271,Dutch 1,2,0,4,0
48798,2.115,0.965,0.218,Dutch 1,2,0,2,0
48803,1.592,1.368,0.268,Dutch 1,2,0,3,1
48808,1.339,0.881,0.315,French 1,1,0,1,1
48813,1.261,0.909,0.313,French 1,1,0,1,1
48818,1.281,0.889,0.317,French 1,1,0,2,0
48823,0.951,1.208,0.314,French 1,1,0,1,4
48828,1.566,0.744,0.281,French 1,1,0,3,1
48833,2.113,0.787,NA,Belgian,3,0,1,0
48838,1.968,0.971,NA,Belgian,3,0,1,0
48843,1.715,0.855,NA,Belgian,3,0,7,2
48848,1.231,1.209,NA,Belgian,3,0,1,1
48853,1.398,1.282,NA,Belgian,3,0,1,2
48858,2.404,0.706,NA,Belgian,3,0,3,1
48863,1.009,1.181,0.334,French 1,1,0,1,2
48868,1.38,0.86,0.304,French 1,1,0,1,1
48873,1.303,1.387,NA,Belgian 2,4,0,1,1
48878,1.382,1.348,NA,Belgian 2,4,0,1,0
48883,1.768,1.222,NA,Belgian 2,4,0,0,1
48988,1.714,0.946,NA,Serie A,1.5,0,2,3
48993,1.383,1.107,NA,Serie A,1.5,0,2,2
48998,1.3,1.07,NA,Serie A,1.5,0,1,0
49003,1.904,0.826,NA,Serie A,1.5,0,0,0
49008,2.216,0.743,NA,Belgian 2,4,0,5,1
49013,1.284,1.366,NA,Belgian 2,4,0,0,2
49018,1.32,1.35,NA,Belgian 2,4,0,1,2
49023,2.173,0.817,NA,Belgian 2,4,0,5,0
49028,1.417,1.893,NA,E Club Frien,5,0,0,0
49033,1.36,0.88,0.29,Eng. Premier,1,0,1,1
49043,1.585,0.523,0.255,Greek,4,0,2,0
49048,0.998,1.192,0.325,Greek,4,0,1,1
49078,1.526,1.135,NA,Australia,4,0,2,2
49088,1.048,0.892,0.337,French 1,1,0,1,0
49093,1.039,1.45,NA,Australia,4,0,2,0
49098,2.411,0.599,NA,Serie A,1.5,0,3,2
49103,1.629,1.271,NA,Belgian,3,0,5,1
49108,0.926,1.463,0.304,French 1,1,0,3,0
49128,1.171,1.089,NA,Portugal Primeira Liga,2,0,3,1
49133,2.166,0.533,NA,Portugal Primeira Liga,2,0,0,0
49138,1.763,0.656,NA,Portugal Primeira Liga,2,0,4,0
49188,1.079,1.052,NA,Portugal 2,4,0,0,3
49193,1.41,0.92,NA,Portugal 2,4,0,0,1
49198,1.639,0.841,NA,Portugal 2,4,0,1,0
49203,1.135,1.085,NA,Portugal 2,4,0,2,0
49208,1.223,0.927,NA,Portugal 2,4,0,2,1
49213,1.282,1.048,NA,Portugal 2,4,0,2,2
49218,1.625,0.774,NA,Portugal 2,4,0,2,2
49223,1.553,0.706,NA,Portugal 2,4,0,0,0
49228,1.176,0.994,NA,Portugal Primeira Liga,2,0,0,1
49233,1.386,0.904,NA,Portugal Primeira Liga,2,0,3,1
49238,0.745,1.523,NA,Portugal Primeira Liga,2,0,1,1
49243,1.47,0.72,NA,Portugal Primeira Liga,2,0,2,1
49248,1.231,1.089,0.309,Portugal Primeira Liga,2,0,0,1
49293,1.442,0.928,0.303,Segunda Liga,3,0,1,1
49298,1.651,0.839,0.277,Segunda Liga,3,0,0,0
49303,1.347,0.943,0.295,Segunda Liga,3,0,1,0
49308,1.332,0.938,0.312,Segunda Liga,3,0,0,3
49448,1.315,1.735,NA,E Club Frien,5,0,0,2
49453,0.922,1.627,NA,Eng. FA Cup,2,0,2,1
49483,1.244,1.096,NA,Eng. FA Cup,2,0,2,1
49488,1.241,1.728,NA,Eng. FA Cup,2,0,0,1
49493,3.307,0.475,NA,Eng. FA Cup,2,0,5,0
49498,1.803,0.836,NA,Eng. FA Cup,2,0,4,1
49503,1.35,0.97,NA,Eng. FA Cup,2,0,1,0
49508,1.369,1.231,NA,Eng. FA Cup,2,0,1,0
49553,1.002,1.517,NA,Mexico T Int,4,0,1,0
49558,0.998,1.491,NA,Mexico T Int,4,0,0,1
49563,1.689,0.861,NA,Mexico T Int,4,0,3,1
49578,1.038,1.033,NA,France 3,5,0,0,1
49583,1.231,1.099,NA,France 3,5,0,2,1
49588,1.122,1.148,NA,France 3,5,0,1,3
49593,1.154,0.886,NA,France 3,5,0,2,1
49598,1.741,0.658,NA,France 3,5,0,0,0
49603,1.127,1.373,NA,France 3,5,0,0,3
49653,1.391,1.249,0.277,Eng. L2,4,0,4,0
49658,1.902,0.757,NA,Eng. Premier,1,0,2,2
49663,1.092,1.178,0.345,French 2,3,0,2,1
49668,1.672,1.358,NA,E Club Frien,5,0,1,0
49688,1.971,1.239,NA,E Club Frien,5,0,1,0
49703,1.023,1.166,0.33,French 2,3,0,2,3
49728,1.573,0.867,NA,French 2,3,0,1,0
49748,1.524,1.456,NA,Scot. FA Cup,5,0,2,2
49758,0.624,2.343,NA,Greece Cup,5,0,0,3
49763,1.684,1.147,NA,E Club Frien,5,0,2,1
49768,1.473,1.407,NA,E Club Frien,5,0,0,2
50083,1.406,1.854,NA,E Club Frien,5,0,1,1
50088,0.894,2.447,NA,E Club Frien,5,0,0,2
50113,1.212,1.248,0.302,Eng L1      ,3,0,0,0
50123,2.183,0.646,0.183,Eng L1      ,3,0,2,1
50128,1.427,1.153,0.28,Eng L1      ,3,0,4,3
50143,1.265,1.235,0.3,Eng. L2,4,0,2,2
50148,1.408,1.232,NA,Eng. League Cup,3,0,5,1
50153,1.82,1.13,0.253,Dutch 1,2,0,2,0
50158,1.331,1.389,0.291,Dutch 1,2,0,4,0
50163,1.97,1.03,0.234,Dutch 1,2,0,1,2
50168,1.15,1.44,0.295,Belgian,3,0,0,0
50173,1.334,1.226,0.294,Belgian,3,0,1,1
50198,1.364,1.186,NA,Intl Friendl,3,0,0,1
50203,1.001,1.398,NA,Turkey SL,3,0,1,2
50208,0.946,1.473,NA,Turkey SL,3,0,2,5
50213,2.237,0.642,NA,Turkey SL,3,0,2,2
50223,1.45,1,NA,Turkey SL,3,0,2,0
50233,1.369,0.931,NA,Serie C1 B,5,0,1,1
50303,1.004,1.696,NA,Cyprus Cup,5,0,1,1
50308,0.805,1.793,NA,Cyprus Cup,5,0,2,1
50328,2.046,1.234,NA,E Club Frien,5,0,3,1
50333,2.287,1.133,NA,E Club Frien,5,0,1,2
50338,1.065,2.154,NA,E Club Frien,5,0,1,4
50353,1.295,1.015,0.313,French 1,1,0,1,2
50363,2.433,1.057,NA,E Club Frien,5,0,2,0
50398,2.174,1.186,0.217,Dutch 1,2,0,2,0
50403,1.111,1.318,0.283,Eng L1      ,3,0,2,2
50413,1.076,1.194,NA,Eng. League Cup,3,0,0,1
50418,1.565,1.475,NA,Dutch 2,3,0,1,1
50423,1.873,0.987,0.235,Dutch 1,2,0,5,1
50428,1.197,1.772,0.272,Dutch 1,2,0,2,1
50433,2.921,0.691,0.124,Dutch 1,2,0,3,1
50438,2.433,0.908,0.185,Dutch 1,2,0,5,1
50443,2.181,0.768,NA,Belgian 2,4,0,1,0
50448,1.66,0.84,NA,Belgian 2,4,0,0,0
50453,1.348,0.922,0.308,French 1,1,0,2,0
50458,1.269,0.821,0.312,French 1,1,0,1,1
50463,1.922,0.647,0.222,French 1,1,0,3,0
50468,1.45,0.89,0.293,French 1,1,0,1,0
50473,1.996,0.673,0.218,French 1,1,0,2,0
50478,1.446,0.874,0.302,French 1,1,0,3,1
50483,1.455,0.935,0.305,French 1,1,0,0,0
50673,2.005,1.035,NA,Peregrino Cu,5,0,1,1
50678,2.024,1.196,NA,Peregrino Cu,5,0,2,0
50683,2.215,1.375,NA,Club Friendly W,5,0,1,2
50688,2.091,1.019,NA,Club Friendly W,5,0,4,0
50703,1.412,1.788,NA,Club Friendly W,5,0,1,2
50708,1.447,1.383,NA,Peregrino Cu,5,0,2,2
50748,1.94,1.21,NA,E Club Frien,5,0,0,1
50753,1.472,1.388,NA,E Club Frien,5,0,1,1
50763,1.704,1.286,NA,E Club Frien,5,0,3,1
50773,1.502,1.178,0.283,Eng. FA Cup,2,0,0,1
50778,1.409,1.131,0.283,Eng L1      ,3,0,2,0
50783,1.453,1.277,0.285,Eng L1      ,3,0,0,4
50788,1.126,1.274,0.299,Eng L1      ,3,0,1,0
50793,2.272,1.228,NA,E Club Frien,5,0,1,0
50798,1.321,0.869,0.312,French 2,3,0,2,1
50803,1.364,0.926,0.312,French 2,3,0,0,1
50808,1.367,0.913,0.314,French 2,3,0,0,1
50813,1.28,1.09,0.312,French 2,3,0,1,0
50818,1.064,1.306,0.311,French 2,3,0,0,1
50823,1.527,0.813,0.287,French 2,3,0,2,2
50828,0.985,1.235,0.312,French 2,3,0,1,1
50833,1.164,1.086,0.324,French 2,3,0,1,1
50838,1.185,1.025,0.317,French 2,3,0,0,2
50843,1.323,0.947,0.315,French 2,3,0,1,1
50848,2.15,1.04,NA,Dutch 2,3,0,1,1
50853,1.29,1.469,NA,Dutch 2,3,0,2,2
50858,1.544,1.416,NA,Dutch 2,3,0,3,2
50863,2.056,1.024,NA,Dutch 2,3,0,4,1
50868,1.716,1.234,NA,Dutch 2,3,0,2,2
50873,1.55,1.26,NA,Dutch 2,3,0,1,2
50878,1.667,1.373,NA,Dutch 2,3,0,3,3
50883,1.337,1.533,NA,Dutch 2,3,0,0,4
50888,1.346,1.574,0.288,Dutch 1,2,0,3,0
50893,1.294,1.696,NA,Belgian,3,0,0,3
50908,0.742,1.506,0.282,Greek,4,0,0,1
50913,1.97,0.479,0.222,Greek,4,0,2,2
50948,1.066,1.105,0.319,Greek,4,0,1,0
50953,2.295,0.454,0.157,Greek,4,0,1,0
50958,0.912,1.128,0.32,Greek,4,0,1,0
50963,1.129,0.981,NA,France 3,5,0,0,0
50968,1.316,0.834,NA,Serie C1 B,5,0,1,1
50973,1.884,0.885,0.238,SpainCopaRey,2,0,0,0
50978,1.454,0.896,NA,Greece B Eth,4,0,0,0
50983,1.751,1.129,NA,E Club Frien,5,0,1,2
50988,2.197,0.833,NA,Turkey Cup,4,0,1,0
50993,1.159,1.431,NA,Turkey Cup,4,0,1,1
50998,1.083,1.347,0.287,SpainCopaRey,2,0,0,1
51003,1.318,1.202,0.297,SpainCopaRey,2,0,4,2
51018,1.168,1.252,0.291,SpainCopaRey,2,0,1,1
51023,2.072,0.868,0.19,SpainCopaRey,2,0,0,1
51028,1.734,0.875,0.249,SpainCopaRey,2,0,2,1
51033,1.653,1.307,NA,E Club Frien,5,0,2,4
51048,1.722,1.518,NA,E Club Frien,5,0,3,3
51153,0.671,2.005,0.202,Eng. FA Cup,2,0,0,2
51173,1.462,1.188,NA,Cyprus 1st D,5,0,1,2
51178,2.414,0.806,NA,Cyprus 1st D,5,0,0,0
51183,1.479,1.751,NA,E Club Frien,5,0,3,1
51188,2.079,1.161,NA,E Club Frien,5,0,1,3
51193,1.289,1.701,NA,E Club Frien,5,0,0,2
51198,2.393,0.526,NA,Scot Premier,3,0,4,0
51208,1.248,1.412,NA,Scot Premier,3,0,1,2
51223,1.618,0.912,0.267,Eng. Chship,2,0,2,0
