ID,MeanH,MeanA,DrawProb,League,LeagueRanking,NeutralField,rbS.FinalScoreH,rbS.FinalScoreA
54378,0.783,1.854,NA,La Liga,1,0,1,1
54383,1.974,0.946,NA,La Liga,1,0,3,2
54403,1.046,1.573,0.288,Mexican,3,0,1,1
54408,1.412,1.298,0.298,Mexican,3,0,2,1
54413,1.348,0.852,0.303,Segunda Liga,3,0,1,1
54418,1.083,1.217,0.299,Segunda Liga,3,0,1,1
54423,1.308,0.922,0.299,Segunda Liga,3,0,1,1
54428,1.313,0.947,0.296,Segunda Liga,3,0,1,1
54438,1.229,1.291,0.298,Mexican,3,0,3,2
54443,1.188,1.083,0.326,Segunda Liga,3,0,1,2
54448,1.852,0.827,0.242,La Liga,1,0,2,1
54458,1.606,0.934,0.268,Mexican,3,0,1,2
54908,1.515,1.165,NA,E Club Frien,5,0,0,1
54918,1.715,0.995,NA,Eng. Conf.,5,0,2,1
54958,1.334,1.216,NA,Eng. FA Cup,2,0,1,4
54963,1.103,1.257,NA,Eng. FA Cup,2,0,0,1
54983,2.061,1.079,NA,Braz  Gaucho,5,0,2,2
55023,2.161,0.658,NA,Turkey SL,3,0,3,1
55033,1.311,1.359,NA,Paulista,5,0,1,1
55038,1.509,1.481,NA,Paulista,5,0,1,0
55043,1.179,1.361,NA,Turkey SL,3,0,1,4
55048,1.678,1.052,NA,Paulista,5,0,0,0
55058,1.872,1.128,NA,Paulista,5,0,3,0
55063,1.954,0.986,NA,Paulista,5,0,2,0
55068,1.477,1.393,NA,Paulista,5,0,3,2
55073,1.805,1.165,NA,Paulista,5,0,3,0
55473,2.155,1.175,0.241,Dutch 1,2,0,7,0
55478,1.391,1.259,0.295,Dutch 1,2,0,0,2
55483,1.474,1.406,0.276,Dutch 1,2,0,1,1
55488,1.295,1.545,0.282,Dutch 1,2,0,0,2
55493,1.927,1.323,0.254,Dutch 1,2,0,3,0
55503,1.7,1.21,0.261,Dutch 1,2,0,1,1
55508,1.9,1.19,0.257,Dutch 1,2,0,2,0
55513,1.679,1.241,0.288,Dutch 1,2,0,2,0
55518,1.39,1.46,0.28,Dutch 1,2,0,0,1
55538,2.316,0.523,0.179,Belgian,3,0,2,1
55543,1.408,1.012,NA,Belgian,3,0,2,0
55548,2.244,0.655,NA,Belgian,3,0,1,0
55553,2.241,0.678,NA,Belgian,3,0,1,0
55558,1.414,1.196,NA,Belgian,3,0,1,0
55563,1.869,0.941,NA,Belgian,3,0,1,1
55568,1.292,1.638,NA,Belgian,3,0,0,0
55573,0.895,1.624,NA,Belgian,3,0,1,1
55578,1.647,0.773,NA,Belgian,3,0,1,1
55583,1.497,1.283,NA,Belgian,3,0,0,0
55613,0.843,1.576,0.277,Eng. Premier,1,0,1,3
55618,1.452,0.978,0.29,Eng. Premier,1,0,0,2
55623,0.777,1.542,0.265,Eng. Premier,1,0,1,1
56233,1.326,0.864,NA,French 2,3,0,2,0
56238,1.285,0.885,NA,French 2,3,0,1,0
56243,1.374,0.846,NA,French 2,3,0,2,1
56248,1.124,1.017,NA,French 2,3,0,3,1
56253,1.982,0.917,0.199,Dutch 1,2,0,2,1
56258,1.522,0.838,NA,French 2,3,0,0,0
56263,1.807,1.013,0.263,Bundesliga,1,0,2,1
56358,1.635,1.045,0.267,Eng. L2,4,0,0,1
56383,1.937,1.073,NA,E Club Frien,5,0,1,1
56628,1.425,1.205,NA,Scot Premier,3,0,1,1
56633,1.625,0.895,0.282,Eng. Premier,1,0,4,1
56653,1.016,1.764,NA,Cyprus 1st D,5,0,1,1
56658,2.207,0.632,NA,Cyprus 1st D,5,0,5,1
56668,1.22,1.71,0.268,Eng. Chship,2,0,2,1
56673,1.551,0.738,NA,French 1,1,0,0,0
56683,1.131,1.149,0.3,Eng L1      ,3,0,2,1
56688,1.218,1.212,NA,Scot Premier,3,0,1,1
56693,2.458,0.611,NA,Scot Premier,3,0,2,0
56698,1.868,0.962,NA,Scot Premier,3,0,1,0
56703,2.026,0.874,NA,Scot Premier,3,0,2,0
56708,1.205,1.066,0.317,Eng. Premier,1,0,0,1
56713,1.782,0.788,0.246,Eng. Premier,1,0,1,0
56718,1.487,0.913,0.29,Eng. Premier,1,0,1,0
56723,1.321,1.059,0.29,Eng. Chship,2,0,2,4
56728,1.485,1.105,0.282,Eng. Chship,2,0,2,3
56733,1.622,0.858,0.253,Eng. Chship,2,0,0,0
56738,1.408,1.072,0.291,Eng. Chship,2,0,1,0
56743,1.486,1.174,0.278,Eng. Chship,2,0,1,2
56748,1.517,1.063,0.288,Eng. Chship,2,0,2,2
56753,1.62,0.95,0.269,Eng. Chship,2,0,1,1
56758,1.524,0.936,0.275,Eng. Chship,2,0,2,1
56763,1.283,1.037,0.294,Eng. Premier,1,0,2,0
56768,1.574,0.806,0.27,Eng. Premier,1,0,1,1
56773,0.875,1.943,0.24,Eng. Premier,1,0,0,3
56778,1.968,1.022,0.235,Bundesliga,1,0,2,1
56783,1.815,0.895,0.249,Bundesliga,1,0,1,1
56788,1.696,1.044,0.265,Bundesliga,1,0,2,2
56793,1.715,1.105,0.266,Bundesliga,1,0,3,3
56798,1.995,0.995,0.239,Bundesliga,1,0,1,3
56803,1.531,1.229,0.284,Bundesliga,1,0,1,1
56808,1.524,0.936,0.309,Serie B,2.5,0,2,3
56813,1.079,1.361,0.327,Serie B,2.5,0,2,2
56818,1.367,1.064,0.343,Serie B,2.5,0,3,0
56823,0.914,1.536,0.303,Serie B,2.5,0,1,1
56828,1.729,0.851,0.283,Serie B,2.5,0,3,0
56833,0.952,1.367,0.339,Serie B,2.5,0,2,4
56843,1.855,0.794,0.26,Serie B,2.5,0,1,0
56848,1.194,1.096,0.349,Serie B,2.5,0,2,2
56853,1.853,0.807,0.251,Serie B,2.5,0,1,0
56873,1.407,1.174,NA,Eng. Conf.,5,0,2,1
56878,1.341,0.869,0.3,Eng. Chship,2,0,0,1
56883,2.15,0.99,0.212,Swiss,3,0,3,0
56888,1.278,1.732,0.292,Swiss,3,0,1,0
56893,1.119,1.42,NA,Serie A,1.5,0,2,2
56903,1.896,1.224,0.256,Dutch 1,2,0,1,1
57018,2.59,0.61,NA,Belgian,3,0,0,0
57023,1.925,0.895,NA,Belgian,3,0,2,0
57028,2.505,0.624,NA,Serie A,1.5,0,2,0
57253,1.085,2.225,NA,Ger.A.Jun.SS,5,0,0,2
57263,1.653,1.487,NA,Ger.A.Jun.SS,5,0,2,1
57283,1.001,2.602,NA,Ger.A.Jun.W,5,0,2,2
57288,3.277,0.555,NA,Ger.A.Jun.W,5,0,8,2
57298,2.791,0.75,NA,Ger.A.Jun.W,5,0,3,5
57328,1.261,1.369,0.288,Dutch 1,2,0,1,1
57333,1.332,1.768,0.268,Dutch 1,2,0,2,1
57343,2.484,1.048,NA,Ger.A.Jun.W,5,0,0,2
57353,2.122,0.447,0.189,Eng. Premier,1,0,1,2
57358,0.913,1.896,0.237,Scot Premier,3,0,1,5
57378,1.306,1.214,NA,Cyprus 1st D,5,0,0,0
57383,2.84,0.32,NA,Cyprus 1st D,5,0,4,0
57388,1.535,1.195,0.294,Bundesliga 2,2,0,0,2
57393,1.616,0.994,0.281,Bundesliga 2,2,0,1,0
57398,1.72,1.1,0.275,Bundesliga 2,2,0,1,2
57403,1.043,1.407,0.294,Bundesliga 2,2,0,3,2
57408,1.382,1.369,0.297,Bundesliga 2,2,0,4,2
57423,1.258,1.522,0.291,Dutch 1,2,0,5,2
57428,1.96,1.11,0.252,Dutch 1,2,0,0,1
57433,1.073,1.477,NA,Serie A,1.5,0,1,2
57438,1.316,1.175,NA,Serie A,1.5,0,3,1
57443,1.718,1.092,NA,Serie A,1.5,0,2,0
57448,1.895,0.754,NA,Serie A,1.5,0,1,0
57453,1.184,1.146,NA,Serie A,1.5,0,1,1
57458,1.17,1.23,NA,Serie A,1.5,0,1,0
57463,1.238,1.112,NA,Serie A,1.5,0,1,1
57478,1.146,1.254,NA,Belgian 2,4,0,1,2
57483,1.944,0.825,NA,Belgian 2,4,0,2,1
57488,1.333,0.857,0.306,Eng. Premier,1,0,0,0
57493,1.422,1.408,0.286,Swiss,3,0,3,3
57498,1.371,1.279,0.289,Swiss,3,0,2,0
